CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
no_checking,60,outstanding_credit,education,7636,unknown,greater_7,6,female,co-applicant,4,unknown,49,none,own,2,skilled,2,yes,yes,Risk
less_0,14,no_credits,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,45,outstanding_credit,appliances,10046,greater_1000,4_to_7,5,male,co-applicant,5,car_other,45,none,own,2,management_self-employed,2,none,yes,Risk
no_checking,27,prior_payments_delayed,appliances,1782,100_to_500,greater_7,3,male,none,2,savings_insurance,32,none,own,1,skilled,2,yes,yes,Risk
greater_200,32,prior_payments_delayed,car_used,7910,greater_1000,greater_7,5,male,none,3,car_other,36,none,own,2,skilled,1,none,yes,No Risk
0_to_200,30,prior_payments_delayed,radio_tv,982,500_to_1000,4_to_7,4,male,none,3,car_other,42,bank,own,1,unemployed,1,yes,yes,Risk
0_to_200,22,prior_payments_delayed,car_new,3048,less_100,less_1,3,female,none,2,savings_insurance,29,bank,own,1,unemployed,1,yes,yes,No Risk
less_0,15,credits_paid_to_date,furniture,250,500_to_1000,unemployed,1,female,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,59,outstanding_credit,appliances,7118,unknown,greater_7,5,male,guarantor,4,unknown,50,none,free,2,skilled,2,yes,yes,Risk
no_checking,17,credits_paid_to_date,car_new,2532,100_to_500,4_to_7,3,male,none,3,car_other,34,none,own,1,skilled,1,none,yes,No Risk
no_checking,31,outstanding_credit,repairs,5935,unknown,greater_7,5,male,co-applicant,5,car_other,52,none,own,3,management_self-employed,2,yes,yes,Risk
no_checking,22,all_credits_paid_back,car_new,4129,less_100,4_to_7,2,female,none,3,car_other,36,none,own,2,skilled,1,none,yes,Risk
no_checking,29,outstanding_credit,appliances,6658,unknown,4_to_7,4,female,guarantor,4,car_other,61,none,free,2,unskilled,1,yes,yes,Risk
0_to_200,4,credits_paid_to_date,car_new,250,less_100,4_to_7,3,female,none,3,real_estate,41,none,own,1,skilled,1,yes,yes,No Risk
less_0,17,credits_paid_to_date,car_used,1660,less_100,4_to_7,2,male,none,1,car_other,31,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,26,outstanding_credit,vacation,5205,unknown,greater_7,5,male,none,5,car_other,46,none,own,2,management_self-employed,2,yes,yes,Risk
no_checking,25,all_credits_paid_back,car_used,8070,500_to_1000,greater_7,5,male,none,5,car_other,41,stores,own,2,unskilled,1,yes,yes,No Risk
0_to_200,16,credits_paid_to_date,car_new,742,less_100,less_1,1,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
less_0,21,prior_payments_delayed,car_used,2483,less_100,4_to_7,4,male,none,3,car_other,37,none,own,2,skilled,1,yes,yes,Risk
less_0,4,credits_paid_to_date,car_new,880,less_100,less_1,1,female,none,2,savings_insurance,28,stores,own,1,skilled,1,none,yes,No Risk
less_0,16,credits_paid_to_date,car_new,985,less_100,1_to_4,1,female,none,2,savings_insurance,28,stores,own,1,skilled,1,none,yes,No Risk
greater_200,20,credits_paid_to_date,furniture,250,100_to_500,1_to_4,1,female,co-applicant,3,real_estate,39,bank,own,1,unemployed,1,yes,yes,No Risk
0_to_200,17,prior_payments_delayed,radio_tv,2719,greater_1000,4_to_7,2,female,none,3,car_other,40,stores,own,2,skilled,1,none,yes,No Risk
no_checking,16,credits_paid_to_date,retraining,3981,less_100,4_to_7,2,female,none,2,car_other,41,none,own,1,skilled,1,yes,yes,No Risk
greater_200,30,all_credits_paid_back,car_new,3900,less_100,1_to_4,2,female,none,3,savings_insurance,33,none,own,1,skilled,1,none,yes,Risk
no_checking,13,credits_paid_to_date,car_new,2290,less_100,less_1,2,male,co-applicant,4,real_estate,47,none,own,2,skilled,1,none,yes,Risk
no_checking,27,prior_payments_delayed,radio_tv,4807,100_to_500,less_1,3,male,none,3,car_other,45,none,own,1,skilled,1,none,yes,Risk
less_0,4,credits_paid_to_date,car_used,250,less_100,unemployed,1,male,none,2,real_estate,22,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,44,prior_payments_delayed,repairs,6912,greater_1000,greater_7,4,male,co-applicant,3,car_other,42,none,own,2,skilled,1,none,yes,Risk
no_checking,12,outstanding_credit,repairs,6411,greater_1000,1_to_4,3,male,none,3,unknown,46,none,own,2,skilled,1,yes,yes,Risk
0_to_200,32,credits_paid_to_date,radio_tv,5378,less_100,4_to_7,3,female,none,3,car_other,32,none,own,1,skilled,1,none,yes,Risk
less_0,15,all_credits_paid_back,furniture,933,less_100,1_to_4,2,female,none,2,real_estate,27,stores,own,1,skilled,1,none,yes,No Risk
less_0,14,all_credits_paid_back,car_used,2468,less_100,1_to_4,2,female,co-applicant,1,real_estate,26,bank,own,1,unskilled,1,none,yes,No Risk
no_checking,8,prior_payments_delayed,furniture,3251,100_to_500,1_to_4,4,male,none,2,real_estate,34,none,own,1,management_self-employed,1,none,no,No Risk
0_to_200,18,prior_payments_delayed,appliances,2774,500_to_1000,4_to_7,3,male,none,3,car_other,33,none,own,1,skilled,1,yes,yes,Risk
no_checking,25,prior_payments_delayed,radio_tv,3896,unknown,greater_7,4,female,none,3,savings_insurance,36,none,own,1,skilled,2,none,yes,No Risk
no_checking,33,prior_payments_delayed,radio_tv,5774,500_to_1000,4_to_7,5,male,none,3,savings_insurance,47,stores,own,2,unskilled,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,appliances,1801,100_to_500,1_to_4,3,female,none,4,real_estate,34,none,own,1,skilled,2,none,yes,No Risk
no_checking,38,prior_payments_delayed,repairs,7468,unknown,4_to_7,4,male,co-applicant,5,car_other,48,none,own,2,skilled,1,yes,yes,No Risk
no_checking,38,outstanding_credit,appliances,6284,greater_1000,4_to_7,5,male,co-applicant,5,unknown,52,stores,own,2,unskilled,2,yes,yes,No Risk
no_checking,34,prior_payments_delayed,appliances,6894,500_to_1000,4_to_7,5,female,none,3,car_other,53,none,free,2,skilled,1,none,yes,Risk
no_checking,14,outstanding_credit,car_used,1395,unknown,4_to_7,4,male,none,3,car_other,33,stores,own,2,skilled,1,yes,yes,No Risk
less_0,8,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,1,real_estate,27,bank,rent,1,unemployed,1,none,yes,No Risk
less_0,4,credits_paid_to_date,education,604,less_100,unemployed,1,male,none,1,savings_insurance,29,stores,rent,1,unskilled,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,business,5204,500_to_1000,1_to_4,3,female,none,3,savings_insurance,53,none,own,1,skilled,1,none,yes,No Risk
no_checking,14,credits_paid_to_date,furniture,4425,less_100,less_1,3,male,none,2,savings_insurance,42,none,free,1,management_self-employed,1,none,yes,No Risk
greater_200,34,outstanding_credit,other,5790,500_to_1000,greater_7,5,male,none,4,car_other,44,stores,own,2,unskilled,1,yes,yes,No Risk
0_to_200,4,all_credits_paid_back,education,3861,100_to_500,less_1,3,female,none,2,real_estate,21,none,own,2,management_self-employed,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,car_used,9595,100_to_500,greater_7,5,male,co-applicant,4,car_other,40,none,own,2,management_self-employed,2,none,yes,Risk
greater_200,41,prior_payments_delayed,repairs,5422,500_to_1000,1_to_4,4,male,none,4,car_other,38,none,own,1,skilled,1,yes,yes,No Risk
no_checking,35,prior_payments_delayed,appliances,5044,unknown,4_to_7,4,male,none,3,car_other,43,none,own,2,skilled,1,none,yes,No Risk
0_to_200,24,outstanding_credit,appliances,2734,500_to_1000,greater_7,4,male,none,4,car_other,38,none,own,1,skilled,1,none,yes,Risk
0_to_200,32,credits_paid_to_date,car_used,4186,100_to_500,greater_7,4,female,none,2,savings_insurance,41,none,own,2,skilled,1,none,yes,No Risk
0_to_200,19,prior_payments_delayed,furniture,250,100_to_500,greater_7,3,male,none,3,real_estate,32,none,own,2,skilled,1,none,yes,No Risk
no_checking,43,outstanding_credit,education,6878,unknown,greater_7,4,male,co-applicant,4,unknown,60,none,free,3,skilled,2,yes,yes,Risk
less_0,19,credits_paid_to_date,radio_tv,472,500_to_1000,less_1,1,male,none,1,savings_insurance,25,bank,rent,1,unemployed,1,none,yes,No Risk
less_0,10,all_credits_paid_back,car_new,2173,less_100,less_1,1,male,none,1,real_estate,21,none,rent,1,skilled,1,none,yes,No Risk
less_0,5,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,savings_insurance,30,stores,rent,1,skilled,1,none,yes,No Risk
less_0,20,credits_paid_to_date,furniture,3366,less_100,4_to_7,3,male,none,1,car_other,44,stores,own,2,unskilled,1,yes,yes,No Risk
0_to_200,7,prior_payments_delayed,repairs,3801,500_to_1000,4_to_7,3,male,none,4,unknown,28,none,own,2,skilled,1,none,yes,No Risk
0_to_200,25,credits_paid_to_date,furniture,5359,100_to_500,greater_7,4,female,none,2,car_other,53,none,free,3,skilled,2,yes,yes,No Risk
less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,female,none,1,real_estate,21,bank,rent,1,unskilled,1,none,yes,No Risk
less_0,10,prior_payments_delayed,car_used,521,less_100,1_to_4,3,male,none,3,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
0_to_200,10,credits_paid_to_date,car_new,250,less_100,less_1,1,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,furniture,1345,less_100,4_to_7,2,male,none,1,real_estate,27,none,rent,1,skilled,1,none,yes,Risk
less_0,25,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,2,real_estate,25,stores,own,1,skilled,1,none,yes,No Risk
greater_200,24,credits_paid_to_date,furniture,6266,less_100,less_1,2,male,none,3,car_other,44,none,own,1,skilled,1,yes,yes,Risk
no_checking,35,prior_payments_delayed,appliances,2896,500_to_1000,1_to_4,4,male,none,4,car_other,33,stores,rent,1,unskilled,1,none,yes,Risk
no_checking,25,prior_payments_delayed,furniture,5087,100_to_500,1_to_4,4,female,none,4,car_other,48,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,14,credits_paid_to_date,furniture,3182,less_100,unemployed,2,female,none,3,car_other,29,none,rent,1,skilled,1,none,yes,Risk
0_to_200,32,credits_paid_to_date,business,3283,100_to_500,1_to_4,2,male,none,1,car_other,31,none,own,1,skilled,1,none,yes,No Risk
no_checking,34,prior_payments_delayed,radio_tv,4837,500_to_1000,4_to_7,3,male,none,3,savings_insurance,47,none,own,2,skilled,1,none,yes,No Risk
no_checking,33,outstanding_credit,appliances,8187,unknown,greater_7,5,male,co-applicant,5,unknown,55,none,free,2,skilled,2,yes,yes,Risk
no_checking,17,outstanding_credit,furniture,4570,100_to_500,4_to_7,4,male,none,3,car_other,47,none,own,1,skilled,1,yes,yes,Risk
less_0,14,prior_payments_delayed,retraining,2826,less_100,4_to_7,2,male,co-applicant,2,car_other,46,stores,free,2,unskilled,1,yes,yes,No Risk
0_to_200,21,outstanding_credit,business,388,100_to_500,1_to_4,2,male,co-applicant,1,savings_insurance,33,stores,own,1,skilled,1,none,yes,Risk
less_0,11,credits_paid_to_date,education,1296,less_100,unemployed,1,female,none,1,savings_insurance,29,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,34,prior_payments_delayed,radio_tv,5597,100_to_500,1_to_4,3,female,none,3,car_other,32,bank,own,2,unemployed,1,none,yes,No Risk
less_0,18,prior_payments_delayed,furniture,3965,less_100,less_1,3,male,none,2,savings_insurance,25,none,rent,1,skilled,1,none,yes,No Risk
less_0,4,all_credits_paid_back,car_used,2644,less_100,1_to_4,1,female,none,2,savings_insurance,23,none,own,1,skilled,1,none,yes,No Risk
no_checking,44,prior_payments_delayed,appliances,6437,unknown,greater_7,4,male,co-applicant,3,car_other,50,none,free,2,skilled,2,yes,no,Risk
no_checking,32,prior_payments_delayed,radio_tv,2070,500_to_1000,4_to_7,4,male,none,3,savings_insurance,41,none,own,1,skilled,1,none,yes,Risk
0_to_200,35,credits_paid_to_date,retraining,3810,less_100,4_to_7,3,female,co-applicant,2,unknown,43,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,4,credits_paid_to_date,car_new,3104,less_100,less_1,2,male,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,appliances,5954,500_to_1000,greater_7,4,male,co-applicant,4,car_other,44,none,free,2,skilled,1,yes,yes,Risk
less_0,20,credits_paid_to_date,retraining,250,500_to_1000,4_to_7,1,male,none,2,car_other,28,stores,rent,1,unskilled,1,none,yes,No Risk
less_0,10,prior_payments_delayed,retraining,5576,less_100,4_to_7,4,female,none,3,car_other,33,bank,own,1,unskilled,1,none,yes,No Risk
no_checking,19,credits_paid_to_date,radio_tv,2238,500_to_1000,1_to_4,3,female,none,2,car_other,27,none,free,2,skilled,1,none,yes,No Risk
0_to_200,16,credits_paid_to_date,car_new,3283,less_100,less_1,3,male,co-applicant,3,car_other,33,bank,own,1,unskilled,1,yes,yes,No Risk
no_checking,29,outstanding_credit,furniture,2418,500_to_1000,4_to_7,3,male,none,4,car_other,40,bank,own,2,unemployed,1,yes,yes,Risk
no_checking,50,prior_payments_delayed,appliances,7030,500_to_1000,1_to_4,4,female,co-applicant,3,car_other,36,none,own,2,skilled,1,yes,yes,Risk
no_checking,33,outstanding_credit,repairs,5717,unknown,greater_7,5,male,co-applicant,5,unknown,54,none,free,2,skilled,2,yes,yes,Risk
no_checking,32,prior_payments_delayed,business,6860,100_to_500,4_to_7,3,male,none,3,car_other,40,stores,rent,1,unskilled,1,yes,yes,No Risk
no_checking,49,outstanding_credit,radio_tv,6731,greater_1000,4_to_7,5,male,co-applicant,4,car_other,27,none,free,2,skilled,1,none,yes,Risk
less_0,10,all_credits_paid_back,car_used,1665,less_100,1_to_4,3,female,none,2,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
less_0,9,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,co-applicant,3,real_estate,22,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,31,prior_payments_delayed,appliances,7074,100_to_500,4_to_7,3,male,guarantor,3,unknown,49,none,free,1,skilled,1,yes,yes,Risk
less_0,10,all_credits_paid_back,car_new,1125,less_100,unemployed,2,female,none,1,savings_insurance,25,stores,own,1,skilled,1,none,yes,No Risk
less_0,12,prior_payments_delayed,furniture,2919,500_to_1000,less_1,2,female,none,1,savings_insurance,34,stores,own,1,skilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,furniture,3509,500_to_1000,4_to_7,3,female,none,4,car_other,27,none,own,2,skilled,1,yes,yes,Risk
no_checking,47,prior_payments_delayed,radio_tv,9286,unknown,greater_7,4,male,co-applicant,4,unknown,52,none,free,2,skilled,2,yes,yes,Risk
no_checking,19,credits_paid_to_date,car_used,5611,greater_1000,4_to_7,4,male,none,3,car_other,30,none,own,2,skilled,2,yes,yes,Risk
0_to_200,17,credits_paid_to_date,car_new,2154,less_100,4_to_7,2,female,none,3,savings_insurance,35,bank,rent,1,unemployed,1,none,yes,Risk
0_to_200,4,credits_paid_to_date,car_new,250,less_100,unemployed,2,female,none,1,real_estate,21,none,rent,1,management_self-employed,1,none,yes,No Risk
0_to_200,42,outstanding_credit,appliances,3709,500_to_1000,greater_7,4,female,none,4,unknown,51,stores,own,1,unskilled,1,none,yes,Risk
0_to_200,17,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,2,male,none,2,savings_insurance,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,car_used,4400,unknown,greater_7,3,male,co-applicant,4,car_other,47,stores,free,3,unskilled,2,yes,yes,Risk
0_to_200,4,all_credits_paid_back,car_new,1711,less_100,less_1,2,female,none,3,real_estate,38,none,rent,1,management_self-employed,1,none,yes,No Risk
less_0,19,prior_payments_delayed,furniture,3179,less_100,4_to_7,3,male,none,3,unknown,38,none,rent,1,skilled,1,yes,yes,No Risk
less_0,13,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,29,outstanding_credit,appliances,5816,500_to_1000,4_to_7,5,male,none,4,unknown,50,none,free,2,skilled,2,yes,yes,Risk
less_0,21,prior_payments_delayed,education,600,less_100,less_1,3,male,none,3,car_other,27,none,own,1,skilled,1,yes,yes,No Risk
less_0,14,all_credits_paid_back,car_new,3692,less_100,unemployed,1,female,none,1,real_estate,21,stores,own,1,skilled,1,none,yes,No Risk
less_0,27,credits_paid_to_date,car_new,250,less_100,1_to_4,3,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes,No Risk
less_0,13,prior_payments_delayed,car_new,294,less_100,4_to_7,2,male,none,3,car_other,41,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,11,credits_paid_to_date,furniture,4684,less_100,less_1,2,male,none,3,real_estate,42,none,free,2,management_self-employed,1,none,yes,No Risk
no_checking,27,outstanding_credit,furniture,7077,500_to_1000,greater_7,5,male,co-applicant,4,car_other,46,none,free,2,management_self-employed,1,yes,yes,Risk
0_to_200,28,credits_paid_to_date,appliances,3105,greater_1000,1_to_4,3,male,none,4,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
no_checking,34,outstanding_credit,appliances,8200,unknown,greater_7,4,male,co-applicant,4,unknown,53,none,free,2,skilled,2,yes,yes,Risk
0_to_200,4,credits_paid_to_date,car_new,951,100_to_500,4_to_7,2,male,none,2,real_estate,26,none,own,1,skilled,2,none,yes,No Risk
0_to_200,16,prior_payments_delayed,car_new,2337,100_to_500,1_to_4,3,male,none,4,car_other,38,none,own,2,skilled,1,yes,yes,Risk
no_checking,36,outstanding_credit,appliances,5363,unknown,4_to_7,4,female,none,5,car_other,40,none,own,2,skilled,1,yes,yes,Risk
0_to_200,16,credits_paid_to_date,car_new,3428,less_100,unemployed,1,female,none,1,car_other,27,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_new,400,less_100,less_1,1,male,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
less_0,12,all_credits_paid_back,furniture,250,less_100,1_to_4,3,female,none,1,car_other,29,none,own,1,skilled,1,none,yes,No Risk
no_checking,33,outstanding_credit,appliances,5130,greater_1000,4_to_7,4,female,none,4,car_other,48,none,own,1,skilled,1,none,yes,Risk
less_0,21,credits_paid_to_date,car_new,317,less_100,less_1,2,female,none,2,savings_insurance,32,stores,own,1,skilled,1,none,yes,No Risk
no_checking,45,outstanding_credit,repairs,4134,greater_1000,greater_7,5,female,none,5,car_other,28,none,free,2,skilled,2,yes,yes,Risk
0_to_200,15,prior_payments_delayed,radio_tv,2011,500_to_1000,1_to_4,2,male,co-applicant,3,car_other,48,none,own,1,skilled,1,none,yes,No Risk
0_to_200,11,prior_payments_delayed,furniture,2077,less_100,4_to_7,3,female,none,2,real_estate,21,none,own,1,skilled,1,none,yes,No Risk
no_checking,34,prior_payments_delayed,business,6062,greater_1000,1_to_4,3,male,none,4,car_other,42,none,own,2,skilled,1,yes,yes,Risk
less_0,8,all_credits_paid_back,car_new,1608,less_100,unemployed,2,female,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
no_checking,26,prior_payments_delayed,radio_tv,5864,500_to_1000,less_1,2,male,none,4,unknown,44,none,own,1,management_self-employed,1,yes,yes,No Risk
0_to_200,18,all_credits_paid_back,car_new,250,500_to_1000,less_1,2,male,co-applicant,3,savings_insurance,23,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,30,outstanding_credit,furniture,5657,greater_1000,4_to_7,3,male,none,3,unknown,47,bank,free,2,unskilled,2,yes,yes,No Risk
0_to_200,11,prior_payments_delayed,car_used,1965,greater_1000,greater_7,3,male,none,2,savings_insurance,53,none,own,2,skilled,2,yes,yes,Risk
no_checking,33,prior_payments_delayed,furniture,5831,unknown,1_to_4,4,male,none,3,savings_insurance,44,none,free,3,skilled,2,yes,yes,No Risk
0_to_200,12,credits_paid_to_date,car_new,1983,less_100,1_to_4,2,female,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,35,outstanding_credit,furniture,6259,greater_1000,greater_7,5,male,co-applicant,3,unknown,54,none,free,2,skilled,1,yes,yes,Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,28,outstanding_credit,other,7819,500_to_1000,4_to_7,5,male,none,4,car_other,51,none,free,2,management_self-employed,2,yes,yes,No Risk
no_checking,28,all_credits_paid_back,car_used,1038,100_to_500,4_to_7,3,male,none,3,real_estate,46,bank,own,1,unemployed,2,yes,yes,No Risk
0_to_200,18,credits_paid_to_date,car_new,3454,100_to_500,1_to_4,2,male,none,2,savings_insurance,38,none,rent,1,skilled,1,none,yes,No Risk
no_checking,19,credits_paid_to_date,car_new,965,greater_1000,1_to_4,2,female,none,2,real_estate,40,none,own,1,skilled,1,none,yes,No Risk
no_checking,30,outstanding_credit,furniture,5275,unknown,4_to_7,3,female,none,4,car_other,47,none,own,2,skilled,1,yes,yes,Risk
no_checking,23,prior_payments_delayed,education,3230,100_to_500,4_to_7,4,male,none,4,car_other,34,none,own,1,management_self-employed,1,none,yes,Risk
no_checking,34,prior_payments_delayed,appliances,6083,500_to_1000,1_to_4,4,male,none,5,savings_insurance,34,none,free,2,management_self-employed,1,yes,yes,No Risk
less_0,11,all_credits_paid_back,car_new,3753,less_100,less_1,3,female,co-applicant,2,savings_insurance,26,bank,own,1,unemployed,1,none,yes,No Risk
no_checking,46,outstanding_credit,education,8219,unknown,4_to_7,5,male,co-applicant,5,car_other,50,none,free,2,skilled,1,yes,yes,Risk
0_to_200,40,all_credits_paid_back,appliances,1451,less_100,1_to_4,2,male,none,2,real_estate,19,stores,own,1,skilled,1,none,yes,No Risk
no_checking,33,outstanding_credit,repairs,6036,greater_1000,4_to_7,3,male,none,2,car_other,48,none,own,2,skilled,1,yes,yes,No Risk
less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,42,prior_payments_delayed,other,6421,500_to_1000,4_to_7,5,male,none,3,savings_insurance,36,stores,own,1,unskilled,1,yes,yes,No Risk
0_to_200,7,all_credits_paid_back,vacation,250,less_100,unemployed,2,male,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,45,outstanding_credit,business,10838,greater_1000,greater_7,6,male,co-applicant,5,unknown,51,stores,free,3,unskilled,2,yes,yes,Risk
less_0,4,all_credits_paid_back,car_new,1008,less_100,less_1,2,male,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,27,credits_paid_to_date,car_used,3521,greater_1000,1_to_4,3,female,none,3,car_other,38,none,own,3,skilled,1,yes,yes,No Risk
less_0,16,credits_paid_to_date,furniture,250,less_100,unemployed,2,male,none,3,savings_insurance,26,none,rent,1,skilled,1,none,yes,No Risk
less_0,19,credits_paid_to_date,furniture,1235,100_to_500,4_to_7,3,male,none,3,car_other,35,none,rent,2,skilled,1,none,yes,Risk
no_checking,8,credits_paid_to_date,education,5022,500_to_1000,less_1,3,male,none,3,savings_insurance,35,none,rent,2,management_self-employed,2,none,yes,Risk
no_checking,42,credits_paid_to_date,furniture,6640,100_to_500,1_to_4,3,male,none,4,car_other,36,none,own,2,skilled,1,none,yes,No Risk
less_0,13,all_credits_paid_back,car_new,1950,100_to_500,4_to_7,3,male,none,1,car_other,32,none,own,1,skilled,1,none,yes,No Risk
no_checking,28,outstanding_credit,furniture,9054,500_to_1000,greater_7,4,male,guarantor,4,car_other,57,none,own,2,skilled,1,yes,yes,Risk
no_checking,24,prior_payments_delayed,radio_tv,2009,100_to_500,greater_7,3,male,none,3,car_other,50,none,own,1,skilled,1,none,yes,No Risk
no_checking,42,prior_payments_delayed,repairs,7321,500_to_1000,1_to_4,4,male,none,3,car_other,39,none,own,1,management_self-employed,1,none,yes,Risk
less_0,7,no_credits,car_new,250,less_100,unemployed,1,female,none,1,real_estate,21,none,own,1,skilled,1,none,yes,No Risk
no_checking,31,prior_payments_delayed,car_used,5562,unknown,4_to_7,3,male,none,4,savings_insurance,41,none,own,2,skilled,1,yes,yes,No Risk
less_0,13,all_credits_paid_back,car_new,2337,100_to_500,1_to_4,3,male,none,1,real_estate,27,none,own,2,skilled,1,none,yes,No Risk
0_to_200,35,all_credits_paid_back,car_used,2018,greater_1000,4_to_7,2,female,none,3,savings_insurance,47,stores,rent,3,unskilled,1,yes,yes,Risk
0_to_200,8,prior_payments_delayed,car_new,2161,500_to_1000,1_to_4,1,male,none,3,car_other,23,none,own,2,skilled,2,yes,yes,No Risk
less_0,9,prior_payments_delayed,car_used,972,100_to_500,4_to_7,3,male,none,2,savings_insurance,34,none,own,2,skilled,1,none,yes,No Risk
greater_200,13,credits_paid_to_date,car_new,250,less_100,4_to_7,2,male,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
less_0,15,credits_paid_to_date,car_new,2326,500_to_1000,less_1,2,male,none,3,car_other,28,stores,rent,1,unskilled,1,yes,yes,No Risk
no_checking,25,prior_payments_delayed,car_used,1433,100_to_500,1_to_4,3,male,none,4,car_other,41,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,19,prior_payments_delayed,car_used,4185,greater_1000,4_to_7,4,male,co-applicant,4,car_other,39,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,13,credits_paid_to_date,car_used,250,less_100,less_1,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
less_0,25,credits_paid_to_date,vacation,3551,less_100,4_to_7,3,male,none,3,savings_insurance,40,none,rent,1,skilled,1,none,yes,Risk
less_0,17,credits_paid_to_date,furniture,250,less_100,less_1,2,male,none,1,savings_insurance,33,stores,own,1,skilled,1,none,yes,No Risk
no_checking,26,outstanding_credit,radio_tv,5563,500_to_1000,4_to_7,4,male,co-applicant,4,car_other,50,none,free,1,skilled,1,yes,yes,No Risk
no_checking,54,outstanding_credit,education,5607,greater_1000,1_to_4,4,male,none,4,car_other,36,none,own,1,skilled,1,none,yes,Risk
less_0,30,outstanding_credit,radio_tv,2180,greater_1000,greater_7,3,female,co-applicant,3,car_other,52,stores,own,2,unskilled,1,yes,yes,Risk
greater_200,12,prior_payments_delayed,radio_tv,336,100_to_500,4_to_7,3,male,none,3,savings_insurance,33,none,free,1,skilled,1,yes,yes,No Risk
0_to_200,18,prior_payments_delayed,furniture,5313,less_100,4_to_7,4,male,none,2,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
0_to_200,10,prior_payments_delayed,car_used,2363,less_100,1_to_4,2,male,none,3,car_other,36,none,own,1,skilled,1,yes,yes,No Risk
no_checking,61,outstanding_credit,education,8096,greater_1000,greater_7,5,male,co-applicant,4,car_other,57,none,free,2,skilled,1,yes,yes,Risk
less_0,12,all_credits_paid_back,furniture,250,less_100,4_to_7,2,female,none,2,car_other,26,stores,own,1,skilled,1,none,yes,No Risk
no_checking,27,outstanding_credit,appliances,7636,500_to_1000,greater_7,4,male,co-applicant,3,car_other,44,none,free,2,management_self-employed,2,yes,yes,Risk
less_0,5,all_credits_paid_back,education,250,less_100,1_to_4,3,female,co-applicant,1,savings_insurance,35,none,free,1,skilled,1,yes,yes,No Risk
less_0,11,all_credits_paid_back,car_new,631,less_100,less_1,1,female,none,2,savings_insurance,32,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,20,credits_paid_to_date,furniture,250,less_100,4_to_7,3,male,co-applicant,2,real_estate,41,none,own,1,skilled,1,none,yes,No Risk
